project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
Layer2Surge Scaling,structured,Infrastructure,Success,False,True,False,0,1,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.8,True,0.0,1,0,100.0,0,0
OracleSync Network,structured,Infrastructure,Success,True,True,False,0,0,0.2749999999999999,0.5961538461538463,0.5648148148148149,0.42021276595744683,0.27733006306937646,0.0,1.0,0.2452697967764541,0.8,True,3.8461538461538463,4,25.0,75.0,25.0,0
StorageCloud Protocol,structured,Infrastructure,Success,True,True,False,0,0,0.236,0.5352941176470589,0.49577464788732395,0.35121951219512204,0.23798319327731088,0.0,1.0,0.3142857142857143,1.0,True,4.411764705882353,5,32.0,68.0,20.0,12.0
ComputeChain Grid,structured,Infrastructure,Success,True,True,False,0,0,0.3500000000000001,0.55,0.314516129032258,0.28521126760563376,0.3500000000000001,0.0,1.0,0.2,0.6,False,55.00000000000001,4,20.0,80.0,20.0,0
InterChain Bridge,structured,Infrastructure,Success,True,True,False,0,0,0.25,0.5833333333333333,0.5833333333333333,0.4464285714285714,0.25210084033613445,0.0,1.0,0.3949579831932773,1.0,True,0.0,4,40.0,60.0,30.0,0
IdentityChain Trust,structured,Social and Content,Success,True,False,False,1,0,0.2666666666666666,0.5,0.43617021276595747,0.23224043715846987,0.26190476190476186,0.0,1.0,0.44537815126050423,0.8,True,6.8181818181818175,6,45.0,55.0,30.0,15.0
CreatorHub Platform,structured,Social and Content,Success,True,True,False,0,0,0.19999999999999996,0.5833333333333333,0.5833333333333333,0.3977272727272727,0.19999999999999996,0.0,1.0,0.25,0.8,True,0.0,4,25.0,75.0,25.0,0
SocialChain Network,structured,Social and Content,Success,True,True,False,0,0,0.272,0.5764705882352941,0.5352112676056338,0.36175298804780875,0.2712849162011173,0.0,1.0,0.31620111731843575,0.8,True,4.411764705882353,5,32.0,68.0,20.0,12.0
MusicRights Token,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.17500000000000004,0.55,0.4941860465116279,0.22142857142857153,0.1693548387096775,0.0,1.0,0.4950911640953717,0.8,True,7.5,4,50.0,50.0,35.0,15.0
StreamFlow Rewards,structured,Social and Content,Success,False,True,False,0,1,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.8,True,0.0,1,0,100.0,0,0
NFTMarketX Exchange,structured,Marketplace,Success,True,True,False,0,0,0.25,0.0,0.5833333333333333,0.30952380952380953,0.25,0.0,0.0,0.4,0.8,True,20.0,4,40.0,60.0,30.0,0
DataMarket Exchange,structured,Marketplace,Success,True,True,False,0,0,0.244,0.6787878787878789,0.45233644859813094,0.3378486055776895,0.24536312849162,0.0,1.0,0.31620111731843575,0.6,False,62.121212121212125,5,32.0,68.0,20.0,12.0
FreelanceDAO Network,structured,Marketplace,Success,True,True,False,0,0,0.19999999999999996,0.41666666666666674,0.41666666666666674,0.27941176470588225,0.19957983193277307,0.0,1.0,0.24369747899159663,0.8,True,0.0,4,25.0,75.0,25.0,0
RealEstate Token,structured,Marketplace,Success,True,False,False,1,0,0.17500000000000004,0.5681818181818181,0.5159574468085106,0.27459016393442615,0.1743697478991595,0.0,1.0,0.44537815126050423,0.8,True,6.8181818181818175,4,45.0,55.0,30.0,15.0
